name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,name_mbfc,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
the epoch times,https://www.allsides.com/news-source/epoch-times-media-bias,right,2460.0,805.0,3.05590062108005,absolutely agree,the epoch times,https://mediabiasfactcheck.com/the-epoch-times/,right,mixed,united states,"1,665,637"
the federalist,https://www.allsides.com/news-source/federalist,right,3539.0,1510.0,2.3437086092559998,strongly agree,the federalist,https://mediabiasfactcheck.com/the-federalist/,right,mixed,united states,"789,391"
the flip side,https://www.allsides.com/news-source/flip-side-media-bias,allsides,306.0,241.0,1.26970954351578,somewhat agree,the flip side,https://mediabiasfactcheck.com/the-flip-side/,center,high,united states,0
the gateway pundit,https://www.allsides.com/news-source/gateway-pundit,right,572.0,398.0,1.43718592961213,somewhat agree,the gateway pundit,https://mediabiasfactcheck.com/the-gateway-pundit/,questionable sources,low,united states,"1,400,349"
the guardian,https://www.allsides.com/news-source/guardian,left-center,7386.0,4628.0,1.59593777009162,agree,the guardian,https://mediabiasfactcheck.com/the-guardian/,left-center,high,united kingdom,"8,715,772"
the hill,https://www.allsides.com/news-source/hill-media-bias,center,8959.0,11455.0,0.782103884765795,somewhat disagree,the hill,https://mediabiasfactcheck.com/the-hill/,right-center,mostly factual,united states,"2,663,933"
the independent,https://www.allsides.com/news-source/independent-0,left-center,195.0,173.0,1.12716762999265,somewhat agree,the independent,https://mediabiasfactcheck.com/the-independent/,left-center,high,united kingdom,"8,236,344"
the intercept,https://www.allsides.com/news-source/intercept,left,1939.0,845.0,2.2946745561858597,strongly agree,the intercept,https://mediabiasfactcheck.com/the-intercept/,left-center,high,united states,"1,059,871"
the libertarian republic,https://www.allsides.com/news-source/libertarian-republic,right-center,829.0,679.0,1.22091310749306,somewhat agree,the libertarian republic,https://mediabiasfactcheck.com/the-libertarian-republic/,right-center,high,united states,"61,834"
the nation,https://www.allsides.com/news-source/nation-media-bias,left,1099.0,372.0,2.9543010751894,strongly agree,the nation,https://mediabiasfactcheck.com/the-nation/,left,high,united states,"3,425,379"
the national pulse,https://www.allsides.com/news-source/national-pulse-media-bias,right,10.0,8.0,1.2499999984375,somewhat agree,the national pulse,https://mediabiasfactcheck.com/the-national-pulse/,questionable sources,low,,80
the post millennial,https://www.allsides.com/news-source/post-millennial-media-bias,right-center,135.0,85.0,1.5882352939308,agree,the post millennial,https://mediabiasfactcheck.com/the-post-millennial/,right,mostly factual,canada,"11,394"
the resurgent,https://www.allsides.com/news-source/resurgent-media-bias,right,77.0,61.0,1.26229508176028,somewhat agree,the resurgent,https://mediabiasfactcheck.com/the-resurgent/,right,mixed,,"141,652"
the root,https://www.allsides.com/news-source/root,left-center,288.0,371.0,0.776280323429211,somewhat disagree,the root,https://mediabiasfactcheck.com/the-root/,left,high,united states,"10,043,862"
the texas observer,https://www.allsides.com/news-source/texas-observer-media-bias,left-center,44.0,44.0,0.999999999772727,,the texas observer,https://mediabiasfactcheck.com/the-texas-observer/,left,high,united states,"87,017"
the verge,https://www.allsides.com/news-source/verge,left-center,558.0,376.0,1.48404255315202,somewhat agree,the verge,https://mediabiasfactcheck.com/the-verge/,left-center,high,united states,"2,862,457"
time magazine,https://www.allsides.com/news-source/time-magazine-news-media-bias,left-center,5179.0,4310.0,1.20162412992761,somewhat agree,time magazine,https://mediabiasfactcheck.com/time/,left-center,high,united states,"5,985,276"
townhall,https://www.allsides.com/news-source/townhall-bias,right,9073.0,13830.0,0.656037599421073,disagree,townhall,https://mediabiasfactcheck.com/townhall/,right,mixed,united states,"3,500,480"
truthdig,https://www.allsides.com/news-source/truthdig-media-bias,left,64.0,34.0,1.88235294062284,agree,truthdig,https://mediabiasfactcheck.com/truthdig/,left,high,united states,"2,005,299"
truthout,https://www.allsides.com/news-source/truthout,left-center,337.0,358.0,0.94134078209661,somewhat disagree,truthout,https://mediabiasfactcheck.com/truth-out/,left,mixed,united states,"2,909,288"
upworthy,https://www.allsides.com/news-source/upworthy,left,436.0,311.0,1.40192926040508,somewhat agree,upworthy,https://mediabiasfactcheck.com/upworthy/,left,high,united states,"107,186"
usa today,https://www.allsides.com/news-source/usa-today-media-bias,center,13333.0,11372.0,1.1724410833616101,somewhat agree,usa today,https://mediabiasfactcheck.com/usa-today-2/,left-center,high,united states,"16,253,014"
vanity fair,https://www.allsides.com/news-source/vanity-fair,left-center,3441.0,2246.0,1.53205699019799,agree,vanity fair,https://mediabiasfactcheck.com/vanity-fair/,left,mostly factual,united states,"1,640,670"
virginia mercury,https://www.allsides.com/news-source/virginia-mercury-media-bias,center,8.0,18.0,0.444444444197531,strongly disagree,virginia mercury,https://mediabiasfactcheck.com/virginia-mercury/,left-center,high,united states,"1,627"
vox,https://www.allsides.com/news-source/vox-news-media-bias,left,15869.0,12981.0,1.22247900777966,somewhat agree,vox,https://mediabiasfactcheck.com/vox/,left,mostly factual,united states,"8,056,806"
washington examiner,https://www.allsides.com/news-source/washington-examiner,right-center,6415.0,3257.0,1.96960392999088,agree,washington examiner,https://mediabiasfactcheck.com/washington-examiner/,right,mixed,united states,"1,401,834"
washington free beacon,https://www.allsides.com/news-source/washington-free-beacon,right,512.0,501.0,1.02195608780395,somewhat agree,washington free beacon,https://mediabiasfactcheck.com/washington-free-beacon/,right,mixed,united states,"1,213,943"
washington monthly,https://www.allsides.com/news-source/washington-monthly,left-center,226.0,202.0,1.11881188113273,somewhat agree,washington monthly,https://mediabiasfactcheck.com/washington-monthly/,left-center,high,united states,"3,418,140"
washington post,https://www.allsides.com/news-source/washington-post-media-bias,left-center,26367.0,16777.0,1.57161590272303,agree,washington post,https://mediabiasfactcheck.com/washington-post/,left-center,high,united states,"14,466,517"
washington times,https://www.allsides.com/news-source/washington-times-bias,right-center,22422.0,11139.0,2.01292755184306,strongly agree,washington times,https://mediabiasfactcheck.com/washington-times/,right-center,mixed,united states,"4,111,824"
boing boing,https://www.allsides.com/news-source/boing-boing,left,826.0,548.0,1.50729927004549,agree,boingboing,https://mediabiasfactcheck.com/boing-boing/,left,mixed,united states,"5,066,631"
breitbart news,https://www.allsides.com/news-source/breitbart,right,21196.0,8654.0,2.44927201293916,strongly agree,breitbart,https://mediabiasfactcheck.com/breitbart/,questionable sources,mixed,united states,"3,846,103"
bustle,https://www.allsides.com/news-source/bustle,left-center,747.0,766.0,0.975195822441577,somewhat disagree,bustle magazine,https://mediabiasfactcheck.com/bustle-magazine/,left-center,mostly factual,united states,"402,019"
buzzfeed news,https://www.allsides.com/news-source/buzzfeed-media-bias,left,9579.0,7192.0,1.33189655172229,somewhat agree,buzzfeed,https://mediabiasfactcheck.com/buzzfeed/,left-center,mixed,united states,"257,716"
cnn (web news),https://www.allsides.com/news-source/cnn-media-bias,left-center,31001.0,32844.0,0.943886250151948,somewhat disagree,cnn,https://mediabiasfactcheck.com/cnn/,left,mostly factual,united states,"30,024,580"
cnn - editorial,https://www.allsides.com/news-source/cnn-editorial,left,12311.0,3335.0,3.6914542728525,absolutely agree,cnn,https://mediabiasfactcheck.com/cnn/,left,mostly factual,united states,"30,024,580"
cnsnews,https://www.allsides.com/news-source/cnsnewscom,right,817.0,697.0,1.17216642752981,somewhat agree,cns news,https://mediabiasfactcheck.com/cns-news/,questionable sources,low,united states,"1,029,917"
counter currents,https://www.allsides.com/news-source/counter-currents,left-center,335.0,247.0,1.35627530358881,somewhat agree,countercurrents,https://mediabiasfactcheck.com/countercurrents-org/,left,high,india,"323,696"
daily northwestern,https://www.allsides.com/news-source/daily-northwestern,left-center,369.0,373.0,0.9892761393836659,somewhat disagree,the daily northwestern,https://mediabiasfactcheck.com/the-daily-northwestern/,center,high,united states,"119,191"
daily progress,https://www.allsides.com/news-source/daily-progress,center,406.0,396.0,1.02525252522664,somewhat agree,the daily progress,https://mediabiasfactcheck.com/the-daily-progress/,center,high,,"173,291"
esquire,https://www.allsides.com/news-source/esquire,left,953.0,522.0,1.82567049804932,agree,esquire magazine,https://mediabiasfactcheck.com/esquire-magazine/,left,mostly factual,united states,"591,263"
eurek alert,https://www.allsides.com/news-source/eurek-alert,center,333.0,368.0,0.9048913043232371,somewhat disagree,eurekaalert,https://mediabiasfactcheck.com/eurekaalert/,pro-science,very high,united states,"1,470,611"
factcheck,https://www.allsides.com/news-source/factcheckorg-media-bias,center,5950.0,4563.0,1.30396668857922,somewhat agree,fact check,https://mediabiasfactcheck.com/factcheck/,center,very high,united states,"1,026,991"
financial times,https://www.allsides.com/news-source/financial-times-media-bias,center,490.0,326.0,1.50306748461647,agree,financal times,https://mediabiasfactcheck.com/financial-times/,center,high,united kingdom,"6,923,493"
fiscal times,https://www.allsides.com/news-source/fiscal-times,right-center,704.0,601.0,1.17138103159449,somewhat agree,the fiscal times,https://mediabiasfactcheck.com/the-fiscal-times/,right-center,high,,"239,313"
fox news latino,https://www.allsides.com/news-source/fox-news-latino,right,1845.0,953.0,1.93599160543614,agree,fox news,https://mediabiasfactcheck.com/fox-news/,right,mixed,united states,"15,148,777"
fox news opinion,https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,10233.0,2419.0,4.23026043818012,absolutely agree,fox news,https://mediabiasfactcheck.com/fox-news/,right,mixed,united states,"15,148,777"
fox online news,https://www.allsides.com/news-source/fox-news-media-bias,right-center,25988.0,34798.0,0.7468245301451959,somewhat disagree,fox news,https://mediabiasfactcheck.com/fox-news/,right,mixed,united states,"15,148,777"
gq,https://www.allsides.com/news-source/gqcom-media-bias,left-center,55.0,74.0,0.7432432431428051,somewhat disagree,gq magazine,https://mediabiasfactcheck.com/gq-magazine/,left,high,united states,"2,410,365"
herald democrat,https://www.allsides.com/news-source/herald-democrat-0,left,443.0,362.0,1.22375690604354,somewhat agree,albany democrat-herald,https://mediabiasfactcheck.com/albany-democrat-herald/,center,high,united states,"14,521"
hotair,https://www.allsides.com/news-source/hotair,right-center,1000.0,895.0,1.11731843574171,somewhat agree,hot air,https://mediabiasfactcheck.com/hot-air/,right,mostly factual,united states,"4,746,030"
investor's business daily,https://www.allsides.com/news-source/investors-business-daily,right-center,1144.0,915.0,1.25027322403005,somewhat agree,investors business daily,https://mediabiasfactcheck.com/investors-business-daily/,right,mixed,united states,"1,202,413"
live action news,https://www.allsides.com/news-source/live-action-news,right-center,280.0,186.0,1.50537634400509,agree,live action,https://mediabiasfactcheck.com/live-action/,conspiracy-pseudoscience,mixed,united states,"65,747"
mcclatchydc,https://www.allsides.com/news-source/mcclatchydc-media-bias,center,66.0,84.0,0.785714285620748,somewhat disagree,mcclatchy dc,https://mediabiasfactcheck.com/mcclatchydc/,left-center,high,united states,"2,015,784"
media research center,https://www.allsides.com/news-source/media-research-center,right,1310.0,1613.0,0.81215127091871,somewhat disagree,media research center (mrc,https://mediabiasfactcheck.com/media-research-center-mrc/,right,mixed,united states,"746,063"
nbc (web news),https://www.allsides.com/news-source/nbc-news-media-bias,left-center,5367.0,6541.0,0.820516740558293,somewhat disagree,nbc news,https://mediabiasfactcheck.com/nbc-news/,left-center,high,united states,"5,014,998"
nbc today show,https://www.allsides.com/news-source/nbc-today-show,left-center,1190.0,1302.0,0.913978494616636,somewhat disagree,nbc news,https://mediabiasfactcheck.com/nbc-news/,left-center,high,united states,"5,014,998"
new york times - news,https://www.allsides.com/news-source/new-york-times,left-center,18068.0,27607.0,0.654471691961946,disagree,new york times,https://mediabiasfactcheck.com/new-york-times/,left-center,high,united states,"24,317,383"
new york times - opinion,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,4599.0,1452.0,3.16735537187901,absolutely agree,new york times,https://mediabiasfactcheck.com/new-york-times/,left-center,high,united states,"24,317,383"
newsmax - news,https://www.allsides.com/news-source/newsmax,right-center,7045.0,9106.0,0.773665714912394,somewhat disagree,newsmax,https://mediabiasfactcheck.com/newsmax/,right,mixed,united states,"2,796,906"
newsmax - opinion,https://www.allsides.com/news-source/newsmax-opinion-media-bias,right,62.0,47.0,1.31914893588954,somewhat agree,newsmax,https://mediabiasfactcheck.com/newsmax/,right,mixed,united states,"2,796,906"
npr editorial,https://www.allsides.com/news-source/npr-editorial,left-center,2839.0,3131.0,0.906739060999978,somewhat disagree,npr,https://mediabiasfactcheck.com/npr/,left-center,high,united states,"10,213,049"
npr online news,https://www.allsides.com/news-source/npr-media-bias,center,21371.0,16545.0,1.29168933212373,somewhat agree,npr,https://mediabiasfactcheck.com/npr/,left-center,high,united states,"10,213,049"
pacific standard,https://www.allsides.com/news-source/pacific-standard,left-center,397.0,353.0,1.12464589231942,somewhat agree,pacific standard magazine,https://mediabiasfactcheck.com/pacific-standard-magazine/,left-center,high,united states,"216,153"
pbs newshour,https://www.allsides.com/news-source/pbs-newshour,center,2344.0,1737.0,1.34945308001526,somewhat agree,pbs news hour,https://mediabiasfactcheck.com/pbs-news-hour/,left-center,very high,united states,"14,089,906"
portland press herald,https://www.allsides.com/news-source/portland-press-herarld,center,229.0,326.0,0.7024539877085141,somewhat disagree,portland press-herald,https://mediabiasfactcheck.com/portland-press-herald/,left-center,high,united states,"823,828"
poynter,https://www.allsides.com/news-source/poynter-media-bias,center,12.0,5.0,2.3999999952,strongly agree,poynter institute,https://mediabiasfactcheck.com/poynter-institute/,center,high,united states,"536,899"
realclearpolitics,https://www.allsides.com/news-source/real-clear-politics,center,3137.0,3089.0,1.01553900938486,somewhat agree,real clear politics,https://mediabiasfactcheck.com/real-clear-politics/,right-center,mostly factual,united states,"3,928,705"
rollingstone,https://www.allsides.com/news-source/rolling-stone,left,1496.0,434.0,3.4470046082155097,absolutely agree,rolling stone,https://mediabiasfactcheck.com/rolling-stone/,left,high,united states,"3,890,438"
spokesman review,https://www.allsides.com/news-source/spokesman-review,left-center,208.0,241.0,0.863070539383275,somewhat disagree,the spokesman-review,https://mediabiasfactcheck.com/the-spokesman-review/,right-center,high,united states,"1,147,225"
tallahassee democrat,https://www.allsides.com/news-source/tallahassee-democrat,center,243.0,253.0,0.960474308262432,somewhat disagree,tallahasee democrat,https://mediabiasfactcheck.com/tallahassee-democrat/,right-center,high,united states,"474,428"
the atlantic,https://www.allsides.com/news-source/atlantic,left-center,6472.0,3460.0,1.8705202312084699,agree,atlantic,https://mediabiasfactcheck.com/the-atlantic/,left-center,high,united states,"2,576,226"
the boston globe,https://www.allsides.com/news-source/boston-globe,left-center,1524.0,1157.0,1.31719965426692,somewhat agree,boston globe,https://mediabiasfactcheck.com/boston-globe/,left-center,high,united states,"779,673"
the daily caller,https://www.allsides.com/news-source/daily-caller,right,5755.0,2851.0,2.01858996842505,strongly agree,daily caller,https://mediabiasfactcheck.com/daily-caller/,right,mixed,united states,"2,431,427"
the daily dot,https://www.allsides.com/news-source/daily-dot-media-bias,left-center,45.0,45.0,0.999999999777778,,daily dot,https://mediabiasfactcheck.com/daily-dot/,left,high,united states,"197,481"
the daily signal,https://www.allsides.com/news-source/daily-signal,right,344.0,133.0,2.5864661652190604,strongly agree,daily signal,https://mediabiasfactcheck.com/daily-signal/,right,mostly factual,united states,"603,816"
the dallas morning news,https://www.allsides.com/news-source/dallas-morning-news,center,136.0,107.0,1.2710280372643898,somewhat agree,dallas morning news,https://mediabiasfactcheck.com/dallas-morning-news/,right-center,high,united states,"3,349,082"
the globe and mail,https://www.allsides.com/news-source/globe-and-mail-media-bias,center,29.0,34.0,0.8529411762197231,somewhat disagree,the globe and mail (toronto),https://mediabiasfactcheck.com/the-globe-and-mail/,right-center,high,canada,"4,000,692"
the jerusalem post,https://www.allsides.com/news-source/jerusalem-post-media-bias,center,167.0,169.0,0.9881656804149009,somewhat disagree,jerusalem post,https://mediabiasfactcheck.com/the-jerusalem-post/,right-center,high,israel,"3,400,640"
the new yorker,https://www.allsides.com/news-source/new-yorker,left,3703.0,1091.0,3.39413382215038,absolutely agree,new yorker,https://mediabiasfactcheck.com/new-yorker/,left,high,united states,"3,270,734"
the observer (new york),https://www.allsides.com/news-source/observer,center,210.0,370.0,0.567567567552228,disagree,new york observer,https://mediabiasfactcheck.com/new-york-observer/,right-center,high,united states,"1,320,766"
the philadelphia inquirer,https://www.allsides.com/news-source/phillycom,left-center,125.0,141.0,0.8865248226321609,somewhat disagree,philadelphia inquirer,https://mediabiasfactcheck.com/philadelphia-inquirer/,left-center,high,united states,"1,358"
the republican,https://www.allsides.com/news-source/republican,center,191.0,426.0,0.44835680750121204,strongly disagree,the republican (masslive),https://mediabiasfactcheck.com/republican-masslive-springfield-bias-rating/,center,high,united states,"3,347,341"
the sacramento bee,https://www.allsides.com/news-source/sacramento-bee,left-center,281.0,313.0,0.897763578246078,somewhat disagree,sacramento bee,https://mediabiasfactcheck.com/sacramento-bee/,left-center,high,united states,"1,911,665"
the seattle times,https://www.allsides.com/news-source/seattle-times,center,81.0,71.0,1.14084507026185,somewhat agree,seattle times,https://mediabiasfactcheck.com/seattle-times/,left-center,high,united states,"1,942,916"
the texas tribune,https://www.allsides.com/news-source/texas-tribune-media-bias,left-center,54.0,51.0,1.05882352920415,somewhat agree,texas tribune,https://mediabiasfactcheck.com/texas-tribune/,left-center,high,united states,"501,464"
the week - news,https://www.allsides.com/news-source/the-week-bias,center,3223.0,2500.0,1.28919999999484,somewhat agree,the week,https://mediabiasfactcheck.com/the-week/,left,high,united states,"1,862,527"
the week - opinion,https://www.allsides.com/news-source/week-opinion-media-bias,left-center,40.0,37.0,1.0810810807889,somewhat agree,the week,https://mediabiasfactcheck.com/the-week/,left,high,united states,"1,862,527"
theblaze,https://www.allsides.com/news-source/theblaze-bias,right,74241.0,62813.0,1.18193686020391,somewhat agree,the blaze,https://mediabiasfactcheck.com/the-blaze/,right,mixed,united states,"1,822,045"
thinkprogress,https://www.allsides.com/news-source/thinkprogress-bias,left,2648.0,857.0,3.08984830801529,absolutely agree,think progress,https://mediabiasfactcheck.com/think-progress/,left,high,united states,"3,549,198"
truth or fiction,https://www.allsides.com/news-source/truth-or-fiction,center,271.0,221.0,1.2262443438359198,somewhat agree,truthorfiction,https://mediabiasfactcheck.com/truthorfiction-com/,center,very high,united states,"125,662"
wall street journal - editorial,https://www.allsides.com/news-source/wall-street-journal-opinion,right-center,6034.0,4334.0,1.39224734655886,somewhat agree,wall street journal,https://mediabiasfactcheck.com/wall-street-journal/,right-center,mostly factual,united states,"15,408,093"
wall street journal - news,https://www.allsides.com/news-source/wall-street-journal-media-bias,center,13996.0,18970.0,0.737796520821962,somewhat disagree,wall street journal,https://mediabiasfactcheck.com/wall-street-journal/,right-center,mostly factual,united states,"15,408,093"
aj+,https://www.allsides.com/news-source/aj-media-bias,left,169.0,75.0,2.25333333303289,strongly agree,al jazeera,https://mediabiasfactcheck.com/al-jazeera/,left-center,mixed,qatar,"7,805,699"
az central,https://www.allsides.com/news-source/az-central-media-bias,center,87.0,125.0,0.69599999994432,somewhat disagree,arizona republic,https://mediabiasfactcheck.com/arizona-republic/,left-center,high,united states,"5,965,192"
boston herald editorial,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,right-center,210.0,198.0,1.06060606055249,somewhat agree,boston herald,https://mediabiasfactcheck.com/boston-herald/,right-center,high,united states,"502,831"
cbn,https://www.allsides.com/news-source/cbn,right,6486.0,3409.0,1.9026107362807199,agree,christian broadcasting network (cbn),https://mediabiasfactcheck.com/christian-broadcasting-network-cbn/,conspiracy-pseudoscience,mixed,united states,"67,798"
cook report,https://www.allsides.com/news-source/cook-report,center,866.0,542.0,1.5977859778303,agree,cook political reports,https://mediabiasfactcheck.com/cook-political-report/,center,high,united states,"161,861"
daily kos,https://www.allsides.com/news-source/daily-kos,left,5397.0,2003.0,2.69445831251775,strongly agree,daily kos,https://mediabiasfactcheck.com/daily-kos/,left,mixed,united states,
fair,https://www.allsides.com/news-source/fair-media-bias,left-center,502.0,494.0,1.01619433196324,somewhat agree,fairness and accuracy in reporting,https://mediabiasfactcheck.com/fairness-accuracy-in-reporting-fair/,left-center,high,united states,"719,217"
harvard business school,https://www.allsides.com/news-source/harvard-business-school,left-center,672.0,795.0,0.845283018857292,somewhat disagree,harvard business review,https://mediabiasfactcheck.com/harvard-business-review/,center,high,united states,"2,026,404"
huffpost,https://www.allsides.com/news-source/huffpost-media-bias,left,23628.0,20454.0,1.15517747139867,somewhat agree,huffington post,https://mediabiasfactcheck.com/huffington-post/,left,mostly factual,united states,"15,441,793"
ivn,https://www.allsides.com/news-source/ivn,center,427.0,424.0,1.00707547167436,somewhat agree,independent voter network (ivn),https://mediabiasfactcheck.com/independent-voter-network-ivn/,center,high,united states,"52,880"
los angeles times,https://www.allsides.com/news-source/los-angeles-times-bias,left-center,4229.0,3134.0,1.34939374600718,somewhat agree,la times,https://mediabiasfactcheck.com/la-times-los-angeles-times/,left-center,high,united states,"9,110,488"
louisville courier-journal,https://www.allsides.com/news-source/louisville-courier-journal,left-center,201.0,201.0,0.999999999950249,,the courier-journal,https://mediabiasfactcheck.com/the-courier-journal/,left-center,high,united states,"1,028,462"
new hampshire union leader,https://www.allsides.com/news-source/union-leader,center,23.0,22.0,1.04545454497934,somewhat agree,manchester union leader,https://mediabiasfactcheck.com/manchester-union-leader/,right,high,united states,"635,931"
pxw news,https://www.allsides.com/news-source/pxw-news,center,182.0,191.0,0.952879581101944,somewhat disagree,parallax news,https://mediabiasfactcheck.com/parallax-news-pxw/,center,high,united states,187
red state,https://www.allsides.com/news-source/red-state,right,677.0,261.0,2.59386973170138,strongly agree,redstate,https://mediabiasfactcheck.com/red-state/,right,mixed,united states,
richmond times dispatch,https://www.allsides.com/news-source/richmond-times-dispatch,right-center,242.0,209.0,1.1578947367867,somewhat agree,richmond times-dispatch,https://mediabiasfactcheck.com/richmond-times-dispatch/,right-center,high,united states,
the korea herald,https://www.allsides.com/news-source/korea-herald,center,173.0,116.0,1.49137931021626,somewhat agree,korean herald,https://mediabiasfactcheck.com/korean-herald/,right-center,mixed,south korea,"4,776,644"
the telegraph - uk,https://www.allsides.com/news-source/telegraph-uk,right-center,956.0,492.0,1.94308943085482,agree,daily telegraph (uk),https://mediabiasfactcheck.com/daily-telegraph/,right,mixed,united kingdom,"9,722,249"
vice,https://www.allsides.com/news-source/vice-media-bias,left,1409.0,414.0,3.40338164242987,absolutely agree,vice news,https://mediabiasfactcheck.com/vice-news/,left-center,high,united states,"929,674"
watchdog,https://www.allsides.com/news-source/watchdogorg,right-center,532.0,576.0,0.923611111095076,somewhat disagree,watchdog,https://mediabiasfactcheck.com/watchdog-org/,right-center,mixed,united states,
wgn,https://www.allsides.com/news-source/wgn-media-bias,center,60.0,58.0,1.03448275844233,somewhat agree,wgn news,https://mediabiasfactcheck.com/wgn-news/,left-center,high,united states,
wired,https://www.allsides.com/news-source/wired,center,103.0,131.0,0.786259541924713,somewhat disagree,wired magazine,https://mediabiasfactcheck.com/wired-magazine/,left-center,high,united states,
wnd,https://www.allsides.com/news-source/wndcom,right,548.0,255.0,2.14901960775886,strongly agree,world net daily (wnd),https://mediabiasfactcheck.com/world-net-daily-wnd/,questionable sources,mixed,united states,
yahoo! news,https://www.allsides.com/news-source/yahoo-news-media-bias,left-center,2121.0,1630.0,1.30122699385705,somewhat agree,yahoo news,https://mediabiasfactcheck.com/yahoo-news/,left-center,high,united states,
yahoo! the 360,https://www.allsides.com/news-source/yahoo-360-media-bias,allsides,71.0,69.0,1.02898550709725,somewhat agree,yahoo news,https://mediabiasfactcheck.com/yahoo-news/,left-center,high,united states,
yes! magazine,https://www.allsides.com/news-source/yes-magazine,left,402.0,204.0,1.97058823519752,agree,yes magazine,https://mediabiasfactcheck.com/yes-magazine/,left,high,united states,
